time,open,high,low,close
2023-10-25 21:00:00+00:00,1.05682,1.05735,1.05218,1.05639
2023-10-26 21:00:00+00:00,1.05622,1.05971,1.05352,1.05652
2023-10-29 21:00:00+00:00,1.05696,1.06253,1.05472,1.06151
2023-10-30 21:00:00+00:00,1.06182,1.06750,1.05574,1.05744
2023-10-31 21:00:00+00:00,1.05743,1.05806,1.05166,1.05690
2023-11-01 21:00:00+00:00,1.05704,1.06678,1.05670,1.06224
2023-11-02 21:00:00+00:00,1.06197,1.07469,1.06149,1.07286
2023-11-05 22:00:00+00:00,1.07250,1.07564,1.07165,1.07177
2023-11-06 22:00:00+00:00,1.07164,1.07224,1.06642,1.07000
2023-11-07 22:00:00+00:00,1.07006,1.07162,1.06594,1.07093
2023-11-08 22:00:00+00:00,1.07072,1.07256,1.06603,1.06681
2023-11-09 22:00:00+00:00,1.06668,1.06929,1.06562,1.06847
2023-11-12 22:00:00+00:00,1.06842,1.07062,1.06651,1.06993
2023-11-13 22:00:00+00:00,1.06973,1.08876,1.06929,1.08791
2023-11-14 22:00:00+00:00,1.08786,1.08861,1.08316,1.08476
2023-11-15 22:00:00+00:00,1.08505,1.08956,1.08302,1.08528
2023-11-16 22:00:00+00:00,1.08484,1.09143,1.08248,1.09127
2023-11-19 22:00:00+00:00,1.09106,1.09519,1.08975,1.09400
2023-11-20 22:00:00+00:00,1.09394,1.09652,1.09002,1.09108
2023-11-21 22:00:00+00:00,1.09124,1.09230,1.08524,1.08888
2023-11-22 22:00:00+00:00,1.08880,1.09309,1.08825,1.09066
2023-11-23 22:00:00+00:00,1.09056,1.09489,1.08950,1.09399
2023-11-26 22:00:00+00:00,1.09452,1.09592,1.09250,1.09546
2023-11-27 22:00:00+00:00,1.09544,1.10090,1.09346,1.09952
2023-11-28 22:00:00+00:00,1.09937,1.10173,1.09602,1.09698
2023-11-29 22:00:00+00:00,1.09714,1.09840,1.08794,1.08884
2023-11-30 22:00:00+00:00,1.08862,1.09128,1.08289,1.08833
2023-12-03 22:00:00+00:00,1.08786,1.08950,1.08041,1.08363
